Activity	City	Activity details
Activity	Helsinki	Helsinki: 3-Hour Expert-Led Walking Tour of Culture & History - Time: 2:00 PM - 5:00 PM - Meeting point: Kluuvikatu 3, Helsinki - Inclusions: Expert-led 3-hour walking tour - Description: Walking tour covering Helsinki culture, history, politics and landmarks including Senate Square, Helsinki Cathedral, Market Square, Esplanade Park and central cultural sites.
Activity	Helsinki	Helsinki: A Finntastic Walking Tour in Helsinki - Time: 10:30 AM - 12:45 PM - Meeting point: Senate Square - Inclusions: Professional authorised Helsinki guide - Description: Guided walking tour of Helsinki with local stories and city highlights.
Activity	Helsinki	Helsinki: Excursion to Tallinn - Time: 10:30 AM - 7:30 PM - Meeting point: Hotel pick-up/drop-off in Helsinki or cruise terminal, depending on variant - Inclusions: Helsinki port transfers or round-trip ferry tickets; self-guided visit to Tallinn Old Town; ferry crossing approx. 2 hours each way - Description: Self-guided Old Town Tallinn day excursion. Note: the cruise/ferry is not guided; any guided content only applies if separately specified.
Activity	Helsinki	Helsinki: Helsinki City Highlights & Suomenlinna Day Tour - Time: 10:00 AM - 3:00 PM - Meeting point: Hotel pick-up from selected hotels; tour ends at Helsinki Market Square - Inclusions: Hotel pick-up, transport by A/C coach or minivan, professional English-speaking guide, round-trip ferry to Suomenlinna - Description: Guided Helsinki sightseeing by coach/minivan with photo stops, followed by ferry and walking visit in Suomenlinna. Hotel drop-off is not included.
Activity	Helsinki	Helsinki: Helsinki Free Walking Tour - Time: 11:30 AM - 1:30 PM - Meeting point: Senate Square, base of the main staircase to Helsinki Cathedral, Hallituskatu 9 - Inclusions: Guided walking tour - Description: Free walking tour format; gratuities or local terms may apply.
Activity	Helsinki	Helsinki: Helsinki and Suomenlinna Sightseeing Tour - Time: 10:00 AM - 3:00 PM - Meeting point: Selected hotel pick-up - Inclusions: English-speaking guide, hotel pick-up from selected hotels, transport by A/C coach or minivan - Description: Sightseeing tour covering Helsinki highlights and Suomenlinna.
Activity	Rovaniemi	Rovaniemi: Arctic Explorer Icebreaker Cruise Experience without Meals - Time: 1:15 PM - 3:45 PM Swedish time / 2:15 PM - 4:45 PM Finnish time - Meeting point: Rovaniemi shuttle pick-up/drop-off - Inclusions: Shuttle bus from Rovaniemi, icebreaker cruise, floating in icy Arctic waters in survival suits, walk on the frozen sea, complimentary hot drink, Cruise & Swim certificate - Description: Classic icebreaker experience without meals.
Activity	Rovaniemi	Rovaniemi: Arctic Korouoma Canyon Wilderness Hike - Time: 9:00 AM - 4:00 PM - Meeting point: Lapland Office, Rovakatu 24, Rovaniemi - Inclusions: Pick-up/drop-off from central Rovaniemi, return transfer to/from Korouoma National Park, knowledgeable English-speaking guide, small-group experience max 8 participants, campfire snacks and hot drinks - Description: Guided Korouoma Canyon nature hike with Arctic scenery.
Activity	Rovaniemi	Rovaniemi: Arctic Wilderness Ride Snowmobile Journey - Time: 5:00 PM - 8:00 PM - Meeting point: Lapland Royal Adventures office, Maakuntakatu 31, Rovaniemi - Inclusions: Pick-up/drop-off in central Rovaniemi, snowmobiling two guests per snowmobile, warm clothing overall, fuel and traffic insurance, hot beverages and snacks - Description: Guided snowmobile ride in Arctic wilderness.
Activity	Rovaniemi	Rovaniemi: Arctic Wildlife Adventure to Ranua Park - Time: 10:00 AM - 4:00 PM - Meeting point: Pick-up/drop-off in central Rovaniemi or Adventures office, Maakuntakatu 31, Rovaniemi depending on variant - Inclusions: Pick-up/drop-off in central Rovaniemi, ticket to Ranua Wildlife Park, drinks and BBQ sausages by fire - Description: Visit Ranua Wildlife Park to see Arctic and northern animals.
