record_id	service_type	source_destination	canonical_destination	placeholders	template_text
standard-0001	Hotel	Oslo	Oslo	BedType;HotelName;MealPlan;RoomCategory;X	Oslo: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0002	Leisure	Oslo	Oslo		Oslo: Spend time at leisure
standard-0003	Transfer	Oslo	Oslo	Destination	Oslo: Self transfer to [Destination]
standard-0004	Transfer	Oslo	Oslo	Destination	Oslo: Private transfer to [Destination]
standard-0005	Flight	Oslo	Oslo	Destination;Time	Oslo: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0006	Cruise	Oslo	Oslo	Destination;Time	Oslo: Atlantic Coastal Cruise to [Destination] - Departure from Oslo: [Time] - Arrival at [Destination]: [Time] - Meeting point: Oslo Cruise Harbor - Includes: Tickets
standard-0007	Train	Oslo	Oslo	Destination;Time	Oslo: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Oslo Train Station - Includes: Tickets
standard-0008	Coach	Oslo	Oslo	Destination;Time	Oslo: Coach transfer to [Destination] - Time: [Time] - Meeting point: Oslo Bus Station - Includes: Tickets
standard-0009	Hotel	Bergen	Bergen	BedType;HotelName;MealPlan;RoomCategory;X	Bergen: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0010	Leisure	Bergen	Bergen		Bergen: Spend time at leisure
standard-0011	Transfer	Bergen	Bergen	Destination	Bergen: Self transfer to [Destination]
standard-0012	Transfer	Bergen	Bergen	Destination	Bergen: Private transfer to [Destination]
standard-0013	Flight	Bergen	Bergen	Destination;Time	Bergen: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0014	Cruise	Bergen	Bergen	Destination;Time	Bergen: Atlantic Coastal Cruise to [Destination] - Departure from Bergen: [Time] - Arrival at [Destination]: [Time] - Meeting point: Bergen Cruise Harbor - Includes: Tickets
standard-0015	Train	Bergen	Bergen	Destination;Time	Bergen: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Bergen Train Station - Includes: Tickets
standard-0016	Coach	Bergen	Bergen	Destination;Time	Bergen: Coach transfer to [Destination] - Time: [Time] - Meeting point: Bergen Bus Station - Includes: Tickets
standard-0017	Hotel	Flåm	Flåm	BedType;HotelName;MealPlan;RoomCategory;X	Flåm: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0018	Leisure	Flåm	Flåm		Flåm: Spend time at leisure
standard-0019	Transfer	Flåm	Flåm	Destination	Flåm: Self transfer to [Destination]
standard-0020	Transfer	Flåm	Flåm	Destination	Flåm: Private transfer to [Destination]
standard-0021	Cruise	Flåm	Flåm	Destination;Time	Flåm: Scenic Fjord Cruise to [Destination] - Departure from Flåm: [Time] - Arrival at [Destination]: [Time] - Meeting point: Flåm Cruise Harbor - Includes: Tickets
standard-0022	Train	Flåm	Flåm	Destination;Time	Flåm: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Flåm Train Station - Includes: Tickets
standard-0023	Coach	Flåm	Flåm	Destination;Time	Flåm: Coach transfer to [Destination] - Time: [Time] - Meeting point: Flåm Bus Station - Includes: Tickets
standard-0024	Hotel	Voss	Voss	BedType;HotelName;MealPlan;RoomCategory;X	Voss: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0025	Leisure	Voss	Voss		Voss: Spend time at leisure
standard-0026	Transfer	Voss	Voss	Destination	Voss: Self transfer to [Destination]
standard-0027	Transfer	Voss	Voss	Destination	Voss: Private transfer to [Destination]
standard-0028	Train	Voss	Voss	Destination;Time	Voss: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Voss Train Station - Includes: Tickets
standard-0029	Coach	Voss	Voss	Destination;Time	Voss: Coach transfer to [Destination] - Time: [Time] - Meeting point: Voss Bus Station - Includes: Tickets
standard-0030	Hotel	Gudvangen	Gudvangen	BedType;HotelName;MealPlan;RoomCategory;X	Gudvangen: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0031	Leisure	Gudvangen	Gudvangen		Gudvangen: Spend time at leisure
standard-0032	Transfer	Gudvangen	Gudvangen	Destination	Gudvangen: Self transfer to [Destination]
standard-0033	Transfer	Gudvangen	Gudvangen	Destination	Gudvangen: Private transfer to [Destination]
standard-0034	Cruise	Gudvangen	Gudvangen	Destination;Time	Gudvangen: Scenic Fjord Cruise to [Destination] - Departure from Gudvangen: [Time] - Arrival at [Destination]: [Time] - Meeting point: Gudvangen Cruise Harbor - Includes: Tickets
standard-0035	Coach	Gudvangen	Gudvangen	Destination;Time	Gudvangen: Coach transfer to [Destination] - Time: [Time] - Meeting point: Gudvangen Bus Station - Includes: Tickets
standard-0036	Hotel	Myrdal	Myrdal	BedType;HotelName;MealPlan;RoomCategory;X	Myrdal: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0037	Leisure	Myrdal	Myrdal		Myrdal: Spend time at leisure
standard-0038	Transfer	Myrdal	Myrdal	Destination	Myrdal: Self transfer to [Destination]
standard-0039	Transfer	Myrdal	Myrdal	Destination	Myrdal: Private transfer to [Destination]
standard-0040	Train	Myrdal	Myrdal	Destination;Time	Myrdal: Scenic Train Transfer to [Destination] - Time: [Time] - Meeting point: Myrdal Train Station - Includes: Tickets
standard-0041	Hotel	Ålesund	Ålesund	BedType;HotelName;MealPlan;RoomCategory;X	Ålesund: Check in to your accommodation for a [X] night stay - [HotelName] - [RoomCategory] - [BedType] - [MealPlan]
standard-0042	Leisure	Ålesund	Ålesund		Ålesund: Spend time at leisure
standard-0043	Transfer	Ålesund	Ålesund	Destination	Ålesund: Self transfer to [Destination]
standard-0044	Transfer	Ålesund	Ålesund	Destination	Ålesund: Private transfer to [Destination]
standard-0045	Flight	Ålesund	Ålesund	Destination;Time	Ålesund: Flight to [Destination] - Time: [Time] - Includes: Tickets, Luggage included (1 x 23 kg check in and 1 x 8 kg carry on per person)
standard-0046	Cruise	Ålesund	Ålesund	Destination;Time	Ålesund: Atlantic Coastal Cruise to [Destination] - Departure from Ålesund: [Time] - Arrival at [Destination]: [Time] - Meeting point: Ålesund Cruise Harbor - Includes: Tickets
standard-0047	Coach	Ålesund	Ålesund	Destination;Time	Ålesund: Coach transfer to [Destination] - Time: [Time] - Meeting point: Ålesund Bus Station - Includes: Tickets
